high,timestamp,volume,low,close,open
29264.88,1609479480,2.37626446,29211.18,29264.88,29222.52
29272.15,1609479540,3.61820850,29254.20,29254.20,29263.08
29260.13,1609479600,7.52834885,29228.92,29228.92,29260.13
29243.46,1609479660,7.02391751,29207.53,29222.91,29243.46
29259.45,1609479720,1.29695322,29244.20,29257.71,29246.57
29257.71,1609479780,6.42509113,29230.88,29243.81,29253.91
29244.16,1609479840,0.76712253,29237.82,29237.82,29243.82
29244.25,1609479900,0.45326604,29236.24,29236.31,29244.25
29259.45,1609479960,10.78647296,29232.46,29241.74,29247.88
29261.23,1609480020,2.63818100,29232.62,29235.31,29259.45
29269.57,1609480080,6.98072699,29250.07,29265.55,29255.05
29272.37,1609480140,4.01973619,29250.08,29250.08,29252.87
29270.91,1609480200,0.85540938,29255.33,29255.68,29263.52
29255.33,1609480260,8.98308873,29221.07,29223.45,29255.33
29226.69,1609480320,3.48213675,29215.99,29215.99,29226.69
29215.99,1609480380,4.04629766,29198.32,29198.93,29215.99
29208.53,1609480440,0.03521416,29199.51,29208.53,29208.53
29231.47,1609480500,5.71858371,29199.90,29229.87,29199.90
29229.87,1609480560,4.19122261,29197.74,29201.72,29229.87
29230.83,1609480620,3.33460272,29203.18,29221.38,29213.98
29251.54,1609480680,1.37841738,29230.83,29246.33,29230.83
29246.33,1609480740,7.13279793,29237.58,29242.10,29238.11
29261.63,1609480800,1.27159338,29242.10,29261.63,29242.10
29271.85,1609480860,6.54777913,29239.41,29271.85,29261.63
29276.44,1609480920,1.53104530,29270.98,29271.00,29271.85
29302.43,1609480980,3.63392677,29263.30,29297.77,29271.00
29310.71,1609481040,5.28359054,29286.35,29310.71,29293.20
29317.22,1609481100,15.85698613,29293.94,29303.00,29300.12
29317.56,1609481160,1.94002539,29294.99,29306.96,29312.79
29306.63,1609481220,4.04430946,29288.77,29288.77,29306.63
29305.00,1609481280,10.92923560,29288.77,29289.01,29292.60
29294.64,1609481340,7.29866467,29263.24,29263.24,29286.33
29293.45,1609481400,7.31478333,29278.40,29281.10,29278.40
29289.99,1609481460,4.08105710,29272.42,29272.42,29281.10
29285.61,1609481520,0.16845283,29275.58,29276.98,29285.61
29288.84,1609481580,8.28144473,29263.73,29265.89,29276.01
29276.27,1609481640,10.18385471,29264.61,29274.29,29276.27
29289.28,1609481700,0.14993853,29262.12,29262.12,29275.79
29278.34,1609481760,5.23518027,29268.24,29268.94,29268.75
29268.94,1609481820,3.05150778,29232.03,29232.03,29268.94
29253.40,1609481880,9.65320701,29240.48,29241.48,29245.86
29245.56,1609481940,6.17769062,29209.88,29215.36,29245.56
29265.15,1609482000,11.49109307,29215.36,29249.52,29215.36
29255.53,1609482060,2.54436422,29237.66,29249.65,29249.52
29259.65,1609482120,5.95763122,29245.53,29249.65,29249.65
29247.72,1609482180,7.66335956,29206.05,29212.20,29242.82
29248.65,1609482240,2.57999166,29206.05,29234.26,29207.28
29222.06,1609482300,1.89213596,29205.63,29205.63,29222.06
29234.47,1609482360,4.93779371,29200.00,29200.00,29205.63
29220.44,1609482420,1.80025681,29196.45,29204.41,29196.45
29220.39,1609482480,6.55180210,29200.00,29200.00,29204.41
29210.52,1609482540,4.25957508,29184.51,29184.51,29202.37
29222.60,1609482600,6.16153256,29162.94,29222.60,29175.98
29232.77,1609482660,5.45466321,29198.88,29209.76,29198.88
29225.44,1609482720,2.83690274,29203.76,29210.07,29209.76
29225.01,1609482780,3.67913447,29166.05,29172.64,29225.01
29209.13,1609482840,0.42110879,29172.64,29209.13,29172.64
29245.26,1609482900,9.98784449,29225.49,29235.61,29225.49
29239.75,1609482960,0.63312998,29218.65,29239.18,29218.65
29239.86,1609483020,0.36656006,29226.49,29227.70,29239.17
29235.65,1609483080,4.64631832,29217.62,29235.63,29227.70
29238.59,1609483140,0.44974191,29218.61,29221.57,29235.63
29234.78,1609483200,13.99437680,29217.62,29225.10,29221.59
29231.43,1609483260,1.26453541,29215.90,29229.96,29225.10
29248.33,1609483320,2.05744689,29231.52,29233.03,29231.52
29252.05,1609483380,12.55091079,29233.04,29252.05,29233.04
29264.19,1609483440,0.67313220,29242.37,29252.25,29242.37
29264.18,1609483500,6.72787904,29243.15,29246.25,29253.85
29261.23,1609483560,4.52513376,29235.56,29244.73,29246.25
29242.47,1609483620,5.16716228,29218.34,29218.34,29242.47
29246.82,1609483680,2.21725243,29212.21,29246.60,29219.90
29246.60,1609483740,4.28746168,29231.43,29235.72,29231.43
29234.23,1609483800,1.11407636,29216.63,29218.10,29216.63
29234.23,1609483860,6.29005227,29218.96,29219.06,29234.23
29220.13,1609483920,9.39196028,29219.13,29220.13,29219.13
29226.31,1609483980,5.01113679,29200.03,29220.56,29226.31
29219.44,1609484040,4.45708393,29156.48,29171.82,29208.17
29196.57,1609484100,1.29969773,29170.14,29196.57,29171.82
29202.17,1609484160,0.53303678,29176.35,29189.61,29202.15
29219.53,1609484220,1.19586525,29189.60,29212.05,29189.60
29228.42,1609484280,3.10850075,29213.53,29215.40,29214.98
29245.54,1609484340,6.87104426,29215.40,29245.54,29224.37
29245.54,1609484400,5.38982356,29215.01,29215.01,29245.54
29252.12,1609484460,1.08666962,29215.01,29250.66,29215.01
29253.61,1609484520,0.82571039,29242.56,29253.60,29242.56
29245.74,1609484580,11.04055414,29229.84,29229.85,29241.19
29244.20,1609484640,0.35703283,29230.30,29244.20,29238.54
29244.19,1609484700,9.66789444,29199.79,29202.94,29244.19
29220.93,1609484760,1.00248461,29193.20,29193.20,29202.94
29203.67,1609484820,2.28811269,29170.34,29171.88,29190.28
